INFO 2022-05-06 09:44:54,449 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-06 09:45:49,318 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-06 09:46:38,573 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-06 09:48:40,286 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-06 09:48:42,582 basehttp 161 "GET / HTTP/1.1" 200 10633
INFO 2022-05-06 09:48:42,609 basehttp 161 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2022-05-06 09:48:42,660 basehttp 161 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2022-05-06 09:48:42,661 basehttp 161 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2022-05-06 09:48:42,663 basehttp 161 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
INFO 2022-05-06 10:55:28,565 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-06 10:55:32,008 basehttp 161 "GET / HTTP/1.1" 200 11037
INFO 2022-05-06 10:55:32,092 basehttp 161 "GET /static/css/header.css HTTP/1.1" 200 2267
INFO 2022-05-06 10:55:32,093 basehttp 161 "GET /static/css/footer.css HTTP/1.1" 200 160
INFO 2022-05-06 10:55:32,095 basehttp 161 "GET /static/css/index1.1.css HTTP/1.1" 200 2298
WARNING 2022-05-06 10:55:32,108 basehttp 161 "GET /static/css/goods_list.css HTTP/1.1" 404 1813
WARNING 2022-05-06 10:55:32,127 basehttp 161 "GET /static/css/next_page.css HTTP/1.1" 404 1810
INFO 2022-05-06 10:55:32,131 basehttp 161 "GET /static/js/photo.js HTTP/1.1" 200 1112
WARNING 2022-05-06 10:55:32,134 log 230 Not Found: /images/banner/3.jpg
WARNING 2022-05-06 10:55:32,135 log 230 Not Found: /images/banner/1.jpg
WARNING 2022-05-06 10:55:32,136 log 230 Not Found: /images/code.jpg
WARNING 2022-05-06 10:55:32,142 basehttp 161 "GET /images/code.jpg HTTP/1.1" 404 2185
WARNING 2022-05-06 10:55:32,137 log 230 Not Found: /images/logo.png
WARNING 2022-05-06 10:55:32,140 basehttp 161 "GET /images/banner/3.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:32,142 basehttp 161 "GET /images/banner/1.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:32,143 basehttp 161 "GET /images/logo.png HTTP/1.1" 404 2185
WARNING 2022-05-06 10:55:32,140 log 230 Not Found: /images/banner/2.jpg
WARNING 2022-05-06 10:55:32,151 log 230 Not Found: /images/gallery/01.jpg
WARNING 2022-05-06 10:55:32,156 log 230 Not Found: /images/banner/4.jpg
WARNING 2022-05-06 10:55:32,161 basehttp 161 "GET /images/banner/4.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:32,159 log 230 Not Found: /images/banner/5.jpg
